D:\\BloodCellClassification\\train_images\\2.jpg,RBC,385,523,98,198
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,384,499,164,260
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,101,224,120,222
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,130,234,344,443
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,161,254,381,480
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,14,123,228,344
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,306,415,293,409
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,531,632,103,221
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,492,593,233,347
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,364,465,261,375
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,264,365,60,174
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,249,369,174,296
D:\\BloodCellClassification\\train_images\\2.jpg,WBC,283,567,1,106
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,109,202,1,98
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,135,228,66,164
D:\\BloodCellClassification\\train_images\\2.jpg,RBC,480,590,374,480
D:\\BloodCellClassification\\train_images\\3.jpg,WBC,127,344,40,226
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,317,424,93,195
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,379,471,146,234
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,504,614,210,302
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,417,553,248,369
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,514,615,13,136
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,417,520,1,88
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,1,79,126,240
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,47,158,202,317
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,314,424,284,377
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,365,484,350,451
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,1,86,347,434
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,49,183,396,480
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,514,595,385,477
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,56,151,66,211
D:\\BloodCellClassification\\train_images\\3.jpg,RBC,213,333,253,368
D:\\BloodCellClassification\\train_images\\3.jpg,Platelets,335,370,268,299
D:\\BloodCellClassification\\train_images\\4.jpg,WBC,109,324,134,321
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,432,528,242,325
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,510,606,112,195
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,482,594,361,475
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,75,166,281,375
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,38,147,1,62
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,288,390,33,131
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,411,527,66,185
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,1,102,82,198
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,1,81,283,372
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,1,78,315,397
D:\\BloodCellClassification\\train_images\\4.jpg,RBC,391,469,373,455
D:\\BloodCellClassification\\train_images\\4.jpg,Platelets,127,163,47,81
D:\\BloodCellClassification\\train_images\\7.jpg,WBC,193,387,92,285
D:\\BloodCellClassification\\train_images\\7.jpg,RBC,17,134,298,402
D:\\BloodCellClassification\\train_images\\7.jpg,RBC,64,175,372,479
D:\\BloodCellClassification\\train_images\\7.jpg,RBC,119,230,330,437
